"pxcor","pycor","pcolor","plabel","plabel-color"
"-64","64","[42.5 167.5 42.5]","""""","9.9"
"-63","64","[41.44014305118111 167.06358831519222 41.44014305118111]","""""","9.9"
"-62","64","[38.29167067230668 165.7671585121263 38.29167067230668]","""""","9.9"
"-61","64","[33.1434866856508 163.64731804703268 33.1434866856508]","""""","9.9"
"-60","64","[26.130495696783584 160.75961587514618 26.130495696783584]","""""","9.9"
"-59","64","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"-58","64","[7.184544469074723 152.95834184020725 7.184544469074723]","""""","9.9"
"-57","64","0","""""","9.9"
"-56","64","0","""""","9.9"
"-55","64","0","""""","9.9"
"-54","64","0","""""","9.9"
"-53","64","0","""""","9.9"
"-52","64","0","""""","9.9"
"-51","64","0","""""","9.9"
"-50","64","0","""""","9.9"
"-49","64","0","""""","9.9"
"-48","64","0","""""","9.9"
"-47","64","0","""""","9.9"
"-46","64","[7.184544469074723 152.95834184020725 7.184544469074723]","""""","9.9"
"-45","64","[25.146106189170666 160.35427901907028 25.146106189170666]","""""","9.9"
"-44","64","[42.5 167.5 42.5]","""""","9.9"
"-43","64","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"-42","64","[74.6877707974304 180.75378797541254 74.6877707974304]","""""","9.9"
"-41","64","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"-40","64","[101.76407079278044 191.9028526793802 101.76407079278044]","""""","9.9"
"-39","64","[112.45066643438841 196.30321559063051 112.45066643438841]","""""","9.9"
"-38","64","[120.60319944284387 199.66014094705335 120.60319944284387]","""""","9.9"
"-37","64","[125.74129623116283 201.77582785989057 125.74129623116283]","""""","9.9"
"-36","64","[127.5 202.5 127.5]","""""","9.9"
"-35","64","[125.74129623116283 201.77582785989057 125.74129623116283]","""""","9.9"
"-34","64","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-33","64","[29.10940147938871 161.9862241385718 29.10940147938871]","""""","9.9"
"-32","64","[44.63573259700212 168.3794193046479 44.63573259700212]","""""","9.9"
"-31","64","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"-30","64","[72.20058807534417 179.72965391337704 72.20058807534417]","""""","9.9"
"-29","64","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"-28","64","[93.16482150039192 188.3619853236908 93.16482150039192]","""""","9.9"
"-27","64","[100.29766485278898 191.29903846879546 100.29766485278898]","""""","9.9"
"-26","64","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"-25","64","[26.130495696783584 160.75961587514618 26.130495696783584]","""""","9.9"
"-24","64","[45.711771711832796 168.82249423428408 45.711771711832796]","""""","9.9"
"-23","64","[64.93422191251787 176.73762078750735 64.93422191251787]","""""","9.9"
"-22","64","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"-21","64","[101.76407079278044 191.9028526793802 101.76407079278044]","""""","9.9"
"-20","64","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"-19","64","[134.79184719828692 205.50252531694167 134.79184719828692]","""""","9.9"
"-18","64","[148.75 211.25 148.75]","""""","9.9"
"-17","64","[159.96711095625892 215.86881039375368 159.96711095625892]","""""","9.9"
"-16","64","[167.38400545562473 218.92282577584547 167.38400545562473]","""""","9.9"
"-15","64","[170 220 170]","""""","9.9"
"-14","64","[167.38400545562473 218.92282577584547 167.38400545562473]","""""","9.9"
"-13","64","[159.96711095625892 215.86881039375368 159.96711095625892]","""""","9.9"
"-12","64","[148.75 211.25 148.75]","""""","9.9"
"-11","64","[134.79184719828692 205.50252531694167 134.79184719828692]","""""","9.9"
"-10","64","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"-9","64","[101.76407079278044 191.9028526793802 101.76407079278044]","""""","9.9"
"-8","64","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"-7","64","[64.93422191251787 176.73762078750735 64.93422191251787]","""""","9.9"
"-6","64","[45.711771711832796 168.82249423428408 45.711771711832796]","""""","9.9"
"-5","64","[26.130495696783584 160.75961587514618 26.130495696783584]","""""","9.9"
"-4","64","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"-3","64","[33.1434866856508 163.64731804703268 33.1434866856508]","""""","9.9"
"-2","64","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-1","64","[25.146106189170666 160.35427901907028 25.146106189170666]","""""","9.9"
"0","64","[7.184544469074723 152.95834184020725 7.184544469074723]","""""","9.9"
"1","64","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"2","64","[79.76801091124943 182.84565155169093 79.76801091124943]","""""","9.9"
"3","64","[73.4399204120025 180.2399672284716 73.4399204120025]","""""","9.9"
