"pxcor","pycor","pcolor","plabel","plabel-color"
"-64","64","[79.76801091124943 182.84565155169093 79.76801091124943]","""""","9.9"
"-63","64","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"-62","64","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"-61","64","[38.29167067230668 165.7671585121263 38.29167067230668]","""""","9.9"
"-60","64","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"-59","64","[79.76801091124943 182.84565155169093 79.76801091124943]","""""","9.9"
"-58","64","[100.29766485278898 191.29903846879546 100.29766485278898]","""""","9.9"
"-57","64","[120.60319944284387 199.66014094705335 120.60319944284387]","""""","9.9"
"-56","64","[140.56524784839178 207.8798079375731 140.56524784839178]","""""","9.9"
"-55","64","[159.96711095625892 215.86881039375368 159.96711095625892]","""""","9.9"
"-54","64","[178.38203539639022 223.4514263396901 178.38203539639022]","""""","9.9"
"-53","64","[194.89592359914346 230.25126265847084 194.89592359914346]","""""","9.9"
"-52","64","[207.48355547812946 235.43440519687684 207.48355547812946]","""""","9.9"
"-51","64","[212.5 237.5 212.5]","""""","9.9"
"-50","64","[207.48355547812946 235.43440519687684 207.48355547812946]","""""","9.9"
"-49","64","[194.89592359914346 230.25126265847084 194.89592359914346]","""""","9.9"
"-48","64","[178.38203539639022 223.4514263396901 178.38203539639022]","""""","9.9"
"-47","64","[159.96711095625892 215.86881039375368 159.96711095625892]","""""","9.9"
"-46","64","[140.56524784839178 207.8798079375731 140.56524784839178]","""""","9.9"
"-45","64","[120.60319944284387 199.66014094705335 120.60319944284387]","""""","9.9"
"-44","64","[100.29766485278898 191.29903846879546 100.29766485278898]","""""","9.9"
"-43","64","[79.76801091124943 182.84565155169093 79.76801091124943]","""""","9.9"
"-42","64","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"-41","64","[38.29167067230668 165.7671585121263 38.29167067230668]","""""","9.9"
"-40","64","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"-39","64","[25.146106189170666 160.35427901907028 25.146106189170666]","""""","9.9"
"-38","64","[42.5 167.5 42.5]","""""","9.9"
"-37","64","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
